locus_tag	simbolo	alias	tipo	producto	es_tf	fuente_tf	fuente	sensible_mayusculas
PA0001	dnaA		protein_coding	chromosome replication initiator DnaA	false		refseq|uniprot	false
PA0002	dnaN		protein_coding	DNA polymerase III subunit beta	false		refseq|uniprot	false
PA0003	recF		protein_coding	DNA replication and repair protein RecF	false		refseq|uniprot	false
PA0004	gyrB		protein_coding	DNA gyrase subunit B	false		refseq|uniprot	false
PA0005	lptA		protein_coding	lysophosphatidic acid acyltransferase	false		refseq|uniprot	false
PA0006	gmhB		protein_coding	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	false		refseq|uniprot	false
PA0007			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0008	glyS		protein_coding	glycine--tRNA ligase subunit beta	false		refseq|uniprot	false
PA0009	glyQ		protein_coding	glycine--tRNA ligase subunit alpha	false		refseq|uniprot	false
PA0010	tag		protein_coding	DNA-3-methyladenine glycosidase I	false		refseq|uniprot	true
PA0011			protein_coding	lipid A biosynthesis lauroyl acyltransferase	false		refseq|uniprot	false
PA0012			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0013			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0014			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0015			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0016	trkA		protein_coding	potassium transporter inner membrane associated protein	false		refseq|uniprot	false
PA0017	rsmB	rrmB	protein_coding	Ribosomal RNA small subunit methyltransferase B	true	go_0006355	refseq|uniprot	false
PA0018	fmt		protein_coding	methionyl-tRNA formyltransferase	false		refseq|uniprot	true
PA0019	def		protein_coding	peptide deformylase	false		refseq|uniprot	true
PA0020			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0021			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0022	tsaC	rimN	protein_coding	threonylcarbamoyl-AMP synthase	false		refseq|uniprot	false
PA0023	qor		protein_coding	oxygen-dependent quinone oxidoreductase	false		refseq|uniprot	true
PA0024	hemF		protein_coding	coproporphyrinogen III oxidase	false		refseq|uniprot	false
PA0025	aroE		protein_coding	shikimate dehydrogenase	false		refseq|uniprot	false
PA0026	plcB		protein_coding	phospholipase C	false		refseq|uniprot	false
PA0027			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0028			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0029			protein_coding	sulfate transporter	false		refseq|uniprot	false
PA0030			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0031	betC		protein_coding	choline sulfatase	false		refseq|uniprot	false
PA0032			protein_coding	transcriptional regulator	true	go_0003700|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0033			protein_coding	hypothetical protein	true	kw_two_component	refseq|uniprot	false
PA0034			protein_coding	two-component response regulator	true	go_0003700|go_0006355|kw_transcription_regulation|kw_two_component|producto_refseq	refseq|uniprot	false
PA0035	trpA		protein_coding	tryptophan synthase subunit alpha	false		refseq|uniprot	false
PA0036	trpB		protein_coding	tryptophan synthase subunit beta	false		refseq|uniprot	false
PA0037	trpI		protein_coding	HTH-type transcriptional regulator TrpI	true	go_0003700|go_0006355|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0038			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0039			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0040			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0041			protein_coding	hemagglutinin	false		refseq|uniprot	false
PA0042			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0043			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0044	exoT		protein_coding	exoenzyme T	false		refseq|uniprot	false
PA0045			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0046			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0047			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0048			protein_coding	transcriptional regulator	false		refseq|uniprot	false
PA0049			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0050			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0051	phzH		protein_coding	phenazine-modifying protein	false		refseq|uniprot	false
PA0052			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0053			pseudogene		false		refseq|uniprot	false
PA0054	kptA		protein_coding	RNA 2'-phosphotransferase-like protein	false		refseq|uniprot	false
PA0055			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0056			protein_coding	transcriptional regulator	true	go_0003700|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0057			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0058			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0059	osmC		protein_coding	osmotically inducible protein OsmC	false		refseq|uniprot	false
PA0060			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0061			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0062			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0063			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0064			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0065			protein_coding	5'-nucleotidase	false		refseq|uniprot	false
PA0066			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0067	prlC		protein_coding	oligopeptidase A	false		refseq|uniprot	false
PA0068			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0069			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0070			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0071			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0072			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0073			protein_coding	ABC transporter ATP-binding protein	false		refseq|uniprot	false
PA0074	ppkA		protein_coding	serine/threonine protein kinase PpkA	false		refseq|uniprot	false
PA0075	pppA		protein_coding	serine/threonine phosphatase	false		refseq|uniprot	false
PA0076			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0077	icmF1	tssM1	protein_coding	type VI secretion protein IcmF	false		refseq|uniprot	false
PA0078			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0079	tssK1		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0080			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0081	fha1		protein_coding	Fha domain-containing protein	false		refseq|uniprot	false
PA0082	tssA1		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0083	tssB1		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0084	tssC1		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0085	hcp1		protein_coding	protein secretion apparatus assembly protein	false		refseq|uniprot	false
PA0086	tagJ		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0087	tssE1		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0088	tssF1		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0089			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0090	clpV1		protein_coding	secretion protein ClpV1	false		refseq|uniprot	false
PA0091	vgrG1	vgrG1a	protein_coding	type VI secretion system protein VgrG	false		refseq|uniprot	false
PA0092	tsi6		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0093	tse6		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0094	eagT6		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0095	vgrG1b		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0096			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0097			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0098			protein_coding	3-oxoacyl-ACP synthase	false		refseq|uniprot	false
PA0099	tse7		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0100	tsi7		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0101			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0102			protein_coding	carbonic anhydrase	false		refseq|uniprot	false
PA0103			protein_coding	sulfate transporter	false		refseq|uniprot	false
PA0105	coxB		protein_coding	cytochrome C oxidase subunit II	false		refseq|uniprot	false
PA0106	coxA		protein_coding	cytochrome C oxidase subunit I	false		refseq|uniprot	false
PA0107			protein_coding	cytochrome C oxidase assembly protein	false		refseq|uniprot	false
PA0108	coIII		protein_coding	cytochrome C oxidase subunit III	false		refseq|uniprot	false
PA0109			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0110			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0111			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0112			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0113	cyoE1		protein_coding	protoheme IX farnesyltransferase	false		refseq|uniprot	false
PA0114	senC		protein_coding	cytochrome c oxidase assembly protein SenC	false		refseq|uniprot	false
PA0115			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0116			protein_coding	hypothetical protein	true	go_0003700|go_0006355|kw_transcription_regulation	refseq|uniprot	false
PA0117			protein_coding	short-chain dehydrogenase	false		refseq|uniprot	false
PA0118			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0119	dctA1		protein_coding	C4-dicarboxylate transporter DctA	false		refseq|uniprot	false
PA0120			protein_coding	transcriptional regulator	true	go_0003700|go_0006355|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0121			protein_coding	hypothetical protein	true	go_0003700|go_0006355|kw_transcription_regulation	refseq|uniprot	false
PA0122			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0123			protein_coding	transcriptional regulator	true	go_0003700|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0124			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0125			protein_coding	hypothetical protein	true	go_0006355	refseq|uniprot	false
PA0126			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0127			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0128			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0129	gabP	bauD	protein_coding	gamma-aminobutyrate permease	false		refseq|uniprot	false
PA0130	bauC		protein_coding	3-oxopropanoate dehydrogenase	false		refseq|uniprot	false
PA0131	bauB		protein_coding	beta-alanine degradation protein BauB	false		refseq|uniprot	false
PA0132	bauA		protein_coding	beta alanine--pyruvate transaminase	false		refseq|uniprot	false
PA0133	bauR		protein_coding	HTH-type transcriptional activator BauR	true	go_0003700|go_0006355|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0134			protein_coding	guanine deaminase	false		refseq|uniprot	false
PA0135			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0136			protein_coding	ABC transporter ATP-binding protein	false		refseq|uniprot	false
PA0137			protein_coding	ABC transporter permease	false		refseq|uniprot	false
PA0138			protein_coding	ABC transporter permease	false		refseq|uniprot	false
PA0139	ahpC		protein_coding	alkyl hydroperoxide reductase	false		refseq|uniprot	false
PA0140	ahpF		protein_coding	alkyl hydroperoxide reductase	false		refseq|uniprot	false
PA0141	ppk2		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0142			protein_coding	8-oxoguanine deaminase	false		refseq|uniprot	false
PA0143	nuh		protein_coding	nonspecific ribonucleoside hydrolase	false		refseq|uniprot	true
PA0144			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0145			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0146			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0147			protein_coding	oxidoreductase	false		refseq|uniprot	false
PA0148			protein_coding	adenosine deaminase	false		refseq|uniprot	false
PA0149			protein_coding	ECF subfamily sigma-70 factor	true	go_0006355|kw_transcription_regulation|kw_sigma_factor|producto_refseq	refseq|uniprot	false
PA0150			protein_coding	transmembrane sensor	false		refseq|uniprot	false
PA0151			protein_coding	TonB-dependent receptor	false		refseq|uniprot	false
