tf	blanco	experimento	pmids
AlgR	PA2193	Ad-hoc quantitative phenotype observation [PMID: 15466037]|EMSA [PMID: 15466037]|S1 nuclease protection [PMID: 15466037]	
AlgR	PA2194	Ad-hoc quantitative phenotype observation [PMID: 15466037]|EMSA [PMID: 15466037]|S1 nuclease protection [PMID: 15466037]	
AlgR	PA3476	Beta-gal reporter assay [PMID: 17766417]|EMSA [PMID: 17766417]|Site directed mutagenesis [PMID: 17766417]	
AlgR	PA3479	Beta-gal reporter assay [PMID: 17766417]|DNA-array expression analysis [PMID: 17766417]|EMSA [PMID: 17766417]|Site directed mutagenesis [PMID: 17766417]	
AlgR	PA4550	DNAse footprinting [PMID: 18178737]|EMSA [PMID: 18178737]|qRT-PCR [RNA] [PMID: 18178737]	
AlgR	PA4551	DNAse footprinting [PMID: 18178737]|EMSA [PMID: 18178737]|qRT-PCR [RNA] [PMID: 18178737]	
AlgR	PA4552	DNAse footprinting [PMID: 18178737]|EMSA [PMID: 18178737]|qRT-PCR [RNA] [PMID: 18178737]	
AlgR	PA4553	DNAse footprinting [PMID: 18178737]|EMSA [PMID: 18178737]|qRT-PCR [RNA] [PMID: 18178737]	
AlgR	PA4554	DNAse footprinting [PMID: 18178737]|EMSA [PMID: 18178737]|qRT-PCR [RNA] [PMID: 18178737]	
AlgR	PA4555	DNAse footprinting [PMID: 18178737]|EMSA [PMID: 18178737]|qRT-PCR [RNA] [PMID: 18178737]	
AlgR	PA4556	DNAse footprinting [PMID: 18178737]|EMSA [PMID: 18178737]|qRT-PCR [RNA] [PMID: 18178737]	
AmrZ	PA0038	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0044	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0102	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0172	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0195	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0247	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0252	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0264	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0329	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0338	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0494	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0594	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0674	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0691	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0783	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0807	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0846	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0938	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA0947	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1073	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1080	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1097	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1101	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1102	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1107	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1214	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1272	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1331	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1473	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1509	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1510	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1528	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1561	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1657	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1664	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1668	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1669	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1679	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1680	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA1725	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
