nombre,i,lr,epochs,batch,warmup,semilla,max_length,dev_macro_f1,dev_accuracy,test_macro_f1,test_accuracy,segundos,datos,huella
run_22_lr3e-5_ep8_bs16_wu0.1,22,3e-5,8,16,0.1,42,512,0.9086472272810735,0.9141104294478528,0.9334756267362172,0.9299363057324841,445.9,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
run_21_lr3e-5_ep8_bs16_wu0.06,21,3e-5,8,16,0.06,42,512,0.8911165092996447,0.8957055214723927,0.9333362995511807,0.9299363057324841,479.7,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
run_13_lr2e-5_ep8_bs16_wu0.06,13,2e-5,8,16,0.06,42,512,0.8907518609116494,0.8895705521472392,0.9027845475758361,0.9044585987261147,478.8,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
run_23_lr3e-5_ep8_bs32_wu0.06,23,3e-5,8,32,0.06,42,512,0.8773252697305338,0.8773006134969326,0.8806222838208738,0.8853503184713376,409.7,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
run_17_lr3e-5_ep6_bs16_wu0.06,17,3e-5,6,16,0.06,42,512,0.8754103499164543,0.8773006134969326,0.9234159177555403,0.9235668789808917,481.6,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
run_24_lr3e-5_ep8_bs32_wu0.1,24,3e-5,8,32,0.1,42,512,0.8734265041133907,0.8773006134969326,0.8781703847228041,0.8789808917197452,474.5,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
run_16_lr2e-5_ep8_bs32_wu0.1,16,2e-5,8,32,0.1,42,512,0.8719985509722681,0.8773006134969326,0.8944500314267756,0.89171974522293,642.7,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
run_10_lr2e-5_ep6_bs16_wu0.1,10,2e-5,6,16,0.1,42,512,0.86956608811749,0.8711656441717791,0.893928048685529,0.8980891719745223,353.9,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
run_14_lr2e-5_ep8_bs16_wu0.1,14,2e-5,8,16,0.1,42,512,0.8693982627375894,0.8711656441717791,0.9149578694133149,0.9171974522292994,659.2,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
run_20_lr3e-5_ep6_bs32_wu0.1,20,3e-5,6,32,0.1,42,512,0.8662985967333794,0.8711656441717791,0.8915272107660108,0.8853503184713376,512.5,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
run_19_lr3e-5_ep6_bs32_wu0.06,19,3e-5,6,32,0.06,42,512,0.8632441229220671,0.8711656441717791,0.8785038928603285,0.8853503184713376,444.5,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
run_9_lr2e-5_ep6_bs16_wu0.06,9,2e-5,6,16,0.06,42,512,0.853359010270775,0.8588957055214724,0.8890377005539967,0.8853503184713376,349.7,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
run_15_lr2e-5_ep8_bs32_wu0.06,15,2e-5,8,32,0.06,42,512,0.8503020363100318,0.852760736196319,0.8708539602698177,0.8726114649681529,572.9,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
run_11_lr2e-5_ep6_bs32_wu0.06,11,2e-5,6,32,0.06,42,512,0.8406877763538687,0.8466257668711656,0.8386461129833781,0.8407643312101911,398.1,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
run_18_lr3e-5_ep6_bs16_wu0.1,18,3e-5,6,16,0.1,42,512,0.8395606112960587,0.8466257668711656,0.8549881561355062,0.8598726114649682,362.7,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
run_5_lr1e-5_ep8_bs16_wu0.06,5,1e-5,8,16,0.06,42,512,0.8368813234891987,0.8466257668711656,0.8346495961466369,0.8343949044585988,485.0,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
run_12_lr2e-5_ep6_bs32_wu0.1,12,2e-5,6,32,0.1,42,512,0.8264619883040936,0.8343558282208589,0.8407828919306681,0.8407643312101911,377.7,/content/trabajo/limpia_por_pmid,3d2cb9d4a0378177
