tf	blanco	experimento	pmids	en_corpus
AlgR	PA2193	Ad-hoc quantitative phenotype observation|EMSA|S1 nuclease protection	15466037	true
AlgR	PA2194	Ad-hoc quantitative phenotype observation|EMSA|S1 nuclease protection	15466037	true
AlgR	PA3476	Beta-gal reporter assay|EMSA|Site directed mutagenesis	17766417	false
AlgR	PA3479	Beta-gal reporter assay|DNA-array expression analysis|EMSA|Site directed mutagenesis	17766417	false
AlgR	PA4550	DNAse footprinting|EMSA|qRT-PCR [RNA]	18178737	true
AlgR	PA4551	DNAse footprinting|EMSA|qRT-PCR [RNA]	18178737	true
AlgR	PA4552	DNAse footprinting|EMSA|qRT-PCR [RNA]	18178737	true
AlgR	PA4553	DNAse footprinting|EMSA|qRT-PCR [RNA]	18178737	true
AlgR	PA4554	DNAse footprinting|EMSA|qRT-PCR [RNA]	18178737	true
AlgR	PA4555	DNAse footprinting|EMSA|qRT-PCR [RNA]	18178737	true
AlgR	PA4556	DNAse footprinting|EMSA|qRT-PCR [RNA]	18178737	true
AmrZ	PA0038	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0044	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0102	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0172	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0195	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0247	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0252	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0264	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0329	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0338	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0494	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0594	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0674	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0691	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0783	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0807	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0846	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0938	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA0947	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1073	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1080	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1097	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1101	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1102	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1107	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1214	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1272	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1331	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1473	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1509	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1510	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1528	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1561	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1657	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1664	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1668	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1669	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1679	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1680	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA1725	ChIP-Seq|RNA-Seq	24603766	true
