pmid,oracion,regulador,blanco,disparador,relacion,signo_correcto
29244160,As the increase in the affinity was rather moderate this result rather argued against the idea that the presence of Crc results in a significant affinity enhancement of Hfq for the substrate.,hfq,crc,enhancement;increase,no,
37398089,"To assess the sensitivity of opdH promoter induction between strains, we considered concentrations within range of that observed in supernatant from wild type (LasR+) monocultures (~ 200–500 μM).",lasR,opdH,induction,no,
25143244,"Consistent with PA4596 functioning as a mexCD-oprJ repressor, the purified protein was able to bind to a DNA fragment carrying the mexCD-oprJ promoter region.",PA4596,mexCD-oprJ,bind;repressor,si,-
19933365,"Here, we demonstrate that the transcriptional activation of the katA promoter (katAp) in response to H(2)O(2) was abrogated in the P. aeruginosa PA14 oxyR null mutant.",oxyR,katA,abrogated;transcriptional activation,si,+
36498910,"The PA3973 binding site with the second highest fold enrichment, besides the PA3973 promoter region, was detected in the putative promoter of PA4156, encoding a protein highly homologous to the Vibrio cholerae vibriobactin receptor (ViuA) involved in iron acquisition [43]; however, no significant changes in PA4156 expression were detected under tested conditions in our RNA-seq analyses (Table A1).",PA3973,PA4156,binding,dudoso,
20041030,"Ectopic expression of bexR in the ΔbexR mutant resulted in increased PA1202 expression (Figure 1C), suggesting that BexR positively regulates expression of PA1202.",bexR,PA1202,increased;positively regulates,si,+
41920955,"Deletion of pqsE in laboratory strains grown planktonically, resulted in major defects in RhlR-dependent phenotypes, including loss of PYO production, and reduced elastase and hydrogen cyanide synthesis, despite intact C4-HSL and quinolone signaling [79–81].",rhlR,pqsE,reduced,no,
39153035,"Figure 3 shows the transcription of four of the eight Rsm-sRNAs, rsmZ1, rsmZ2, rsmZ6, and rsmY; in all the cases, the retS mutation diminished the expression of the rsm-sRNAs genes.Fig. 3Effect of the retS mutation on the activity of the PrsmZ1-gusA, PrsmZ2-gusA, PrsmZ6-gusA, and PrsmY-gusA transcriptional fusions.",retS,rsmY,diminished,si,+
28976035,"In contrast, deletion of hfq had no effect on up-regulation of pagL by Sr006 (Supporting Information Fig. S10D).",hfq,pagL,up-regulation,no,
32605982,"Overexpression of reaL in the double-knockout mutant reduced the rpoS mRNA level, whereas overexpression of ybeY resulted in a higher rpoS mRNA level than that in the wild-type PA14 (Fig. 8E).",rpoS,ybeY,Overexpression;overexpression;reduced,no,
22497280,"Predictably, proteases AlgW and MucP were both required for the mucoid phenotype of PAO1 on PIA-AMV; furthermore, degradation of MucA was observed as a result of growth on PIA-AMV.",mucA,algW,required,no,
29244160,"In any case, these cross-linking experiments showed that Crc binds to RNA as well as to Hfq, indicating that the protein exploits several interactions.",hfq,crc,binds,no,
35294222,"To determine whether the PqsR S36N mutant is inactive and unable to activate expression of pqsA, we constructed a PAO1 pqsR S36N mutant and transformed both the mutant and PAO1 with the pqsA-gfp reporter.",mvfR,pqsA,activate,si,+
27706108,"In the ΔczcRS mutant, addition of Zn induced a drop in oprD mRNA, while disruption of the hfq gene in this strain (ΔczcRS;hfq− mutant) totally abolished the decrease in the amount of oprD mRNA (Figure 2C).",hfq,oprD,abolished;decrease;induced,si,-
41949299,"Thus, we hypothesized that when PqsE levels fall below a certain concentration, PqsE homodimerization cannot occur, thereby preventing PqsE-RhlR complex formation and reducing promoter occupancy.",rhlR,pqsE,reducing,no,
36374041,"Both the pel and psl operons are directly regulated by AmrZ, and endA expression shows a strong correlation with AmrZ, but its promoter does not contain AmrZ binding sites (67).",amrZ,endA,binding;regulated,dudoso,
12706510,"In this study, we show that the regulatory effect of AlgR2 on elastase protease synthesis is exerted at transcriptional level on the lasB gene.",algQ,lasB,regulatory,si,?
30186264,We found that increased susceptibility to fosfomycin was also observed in a clinical isolate which has a promoted biofilm phenotype and its glpT and anr genes are highly conserved with those of PAO1.,anr,glpT,increased;promoted,no,
32925969,"Unlike in the case of overexpressing algRD54E from a plasmid, chromosomal expression of algRD54E did not affect virulence (Fig 4F), which suggests that PilY1 functions by transcriptionally repressing the levels of algR.",algR,pilY1,affect;overexpressing;repressing,no,
41128522,This finding demonstrates that MexEF-OprN is an important MexT-regulated efflux pump that modulates QS.,mexT,mexEF-oprN,modulates,si,?
26309248,"The AmrZ regulon under this condition contained 112 genes, and the lectin-encoding gene lecB was the only one known necessary for TM [26] in this gene list.",amrZ,lecB,regulon,si,?
26206672,"To further investigate if AlgR regulates mucR, we measured the activity of the mucR promoter in the ΔalgR mutant.",algR,mucR,regulates,dudoso,
42078529,"Furthermore, we report the upregulation of vfr and cyaB, involved in the sequential signal transduction from the Pil-Chp chemotaxis sensor (Park and Sauer, 2022).",vfr,cyaB,upregulation,no,
29263410,"The AlgZR regulation appears to be responsible for the effect in the mucoid biofilm, as mutating AlgR box 1 eliminates this induction, as well as in the non-mucoid variant.",algR,algZR,induction;regulation,no,
