locus_tag	simbolo	alias	tipo	producto	es_tf	fuente_tf	fuente	sensible_mayusculas
PA0001	dnaA	PA0001	protein_coding	chromosome replication initiator DnaA	false		refseq|kegg|uniprot|uniprot_especie	false
PA0002	dnaN	PA0002	protein_coding	DNA polymerase III subunit beta	false		refseq|kegg|uniprot|uniprot_especie	false
PA0003	recF	PA0003	protein_coding	DNA replication and repair protein RecF	false		refseq|kegg|uniprot|uniprot_especie	false
PA0004	gyrB	PA0004	protein_coding	DNA gyrase subunit B	false		refseq|kegg|uniprot|uniprot_especie	false
PA0005	lptA	PA0005	protein_coding	lysophosphatidic acid acyltransferase	false		refseq|kegg|uniprot|uniprot_especie	false
PA0006	gmhB	PA0006	protein_coding	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	false		refseq|kegg|uniprot|uniprot_especie	false
PA0007		PA0007	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA0008	glyS	PA0008	protein_coding	glycine--tRNA ligase subunit beta	false		refseq|kegg|uniprot|uniprot_especie	false
PA0009	glyQ	PA0009	protein_coding	glycine--tRNA ligase subunit alpha	false		refseq|kegg|uniprot|uniprot_especie	false
PA0010	tag	PA0010	protein_coding	DNA-3-methyladenine glycosidase I	false		refseq|kegg|uniprot	true
PA0011		PA0011	protein_coding	lipid A biosynthesis lauroyl acyltransferase	false		refseq|kegg|uniprot	false
PA0012		PA0012	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA0013		PA0013	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA0014		PA0014	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA0015		PA0015	protein_coding	hypothetical protein	false		refseq|kegg|uniprot|uniprot_especie	false
PA0016	trkA	PA0016	protein_coding	potassium transporter inner membrane associated protein	false		refseq|kegg|uniprot	false
PA0017	rsmB	PA0017|rrmB	protein_coding	Ribosomal RNA small subunit methyltransferase B	true	go_0006355	refseq|kegg|uniprot|uniprot_especie	false
PA0018	fmt	PA0018	protein_coding	methionyl-tRNA formyltransferase	false		refseq|kegg|uniprot|uniprot_especie	true
PA0019	def	PA0019	protein_coding	peptide deformylase	false		refseq|kegg|uniprot|uniprot_especie	true
PA0020		PA0020	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA0021		PA0021	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA0022	tsaC	PA0022|rimN	protein_coding	threonylcarbamoyl-AMP synthase	false		refseq|kegg|uniprot|uniprot_especie	false
PA0023	qor	PA0023	protein_coding	oxygen-dependent quinone oxidoreductase	false		refseq|kegg|uniprot|uniprot_especie	true
