tf	blanco	signo	certeza_dominio	subsistema	alias	atestiguado	n_articulos	pmids	oracion
AlgP	algD	activates	probable	Biopelicula c-di-GMP	AlgP = proteina tipo histona / nucleoide	true	3	34163722,22511872,35862969	AlgP, together with algR and algQ, is a key factor in the transcription of the biosynthesis gene algD.
AlgR	algC	activates	establecida	Biopelicula c-di-GMP	algC = PA5322; sitios ABS1-3	true	10	24999454,26206672,29263410,35073734,37569271	Nevertheless, AlgR still acts as an activator of algC transcription, as the activity of a algC::lacZ transcriptional reporter decreased four-fold in an algR deletion background (Zielinski et al., 1991).
AlgR	algR	activates	probable	Biopelicula c-di-GMP	autorregulacion de AlgR	false	0		
AlgR	mucR	activates	probable	Biopelicula c-di-GMP	mucR = diguanilato ciclasa (DGC)	true	2	33143386,26206672	The transcriptional regulator AlgR is involved in the expression of algD as well as mucR, which encodes for a diguanylate cyclase [89].
AlgR	rhlAB	represses	establecida	Biopelicula c-di-GMP	rhlA, rhlB, rhlABC; ramnolipidos	true	9	24999454,26206672,29263410,29382736,36794960	Both rhlA promoter activity and rhamnolipid production increased in an algR deletion strain indicating that AlgR represses rhlA in biofilms.
AmrZ	adcA	represses	probable	Biopelicula c-di-GMP	adcA = PA4843 = AmrZ dependent cyclase A; diguanilato ciclasa	true	13	24603766,26549743,36374041,38014955,41408422	The present study provides a molecular basis for this finding since we discovered that AmrZ directly represses a predicted diguanylate cyclase-encoding gene (PA4843), which we named adcA (AmrZ dependent cyclase A,).
AmrZ	cdrA	activates	probable	Biopelicula c-di-GMP	cdrA = adhesina de matriz regulada por c-di-GMP	true	10	24603766,33143386,36374041,37492705,38436566	Additionally, AmrZ directly activates the cyclic di-GMP response gene cdrA, which is correlated with polysaccharide overexpression [30].
AmrZ	lecB	activates	probable	Biopelicula c-di-GMP	lecB = lectina LecB / PA-IIL	true	1	26309248	DNA binding assays revealed that AmrZ activates lecB transcription by directly binding to its promoter.
AmrZ	pel	activates	probable	Biopelicula c-di-GMP	operon pel, pelA-G, pelB	true	10	24603766,29497413,33143386,37569271,38436566	Additionally, we demonstrate that AmrZ activates expression of cdrA, encoding a biofilm matrix protein and the pel polysaccharide operon.
AmrZ	pilA	represses	probable	Biopelicula c-di-GMP	pilA = precursor de pili tipo IV	true	2	37569271,33143386	AmrZ also plays a major role in motility, acting as a repressor of the type IV pili precursor pilA and fleQ, a c-di-GMP effector that activates the transcription of flagellum synthesis genes [22].
