etiqueta	clase
results	results
result	results
results:	results
discussion	discussion
results and discussion	results_and_discussion
results & discussion	results_and_discussion
results/discussion	results_and_discussion
results and discussions	results_and_discussion
discussion and conclusion	results_and_discussion
discussion and conclusions	results_and_discussion
abstract	abstract
summary	abstract
introduction	introduction
background	background
conclusion	conclusion
conclusions	conclusion
concluding remarks	conclusion
summary and conclusions	conclusion
conclusions and perspectives	conclusion
conclusions and future perspectives	conclusion
pies de figura y tabla	pie_de_figura
materials and methods	excluir
materials and methods:	excluir
material and methods	excluir
materials & methods	excluir
materials and method	excluir
methods and materials	excluir
methods	excluir
method	excluir
methodology	excluir
method validation	excluir
experimental procedures	excluir
experimental procedure	excluir
experimental	excluir
experimental section	excluir
star methods	excluir
star★methods	excluir
star*methods	excluir
star☆methods	excluir
star☆ methods	excluir
patients and methods	excluir
study design	excluir
author contributions	excluir
authors' contributions	excluir
authors’ contributions	excluir
author’s contributions	excluir
credit authorship contribution statement	excluir
acknowledgements	excluir
acknowledgments	excluir
funding	excluir
funding information	excluir
conflict of interest	excluir
conflict of interests	excluir
conflicts of interest	excluir
conflicts of interests	excluir
conflict of interest statement	excluir
competing interests	excluir
declaration of competing interest	excluir
declaration of interests	excluir
declarations	excluir
data availability	excluir
data availability statement	excluir
data and code availability	excluir
data and software availability	excluir
resource availability	excluir
supplementary material	excluir
supplementary materials	excluir
supplementary information	excluir
supplementary data	excluir
supplemental material	excluir
supplemental information	excluir
supplemental data	excluir
electronic supplementary material	excluir
supporting information	excluir
abbreviations	excluir
abbreviations:	excluir
list of abbreviations	excluir
list of abbreviations used	excluir
ethics statement	excluir
ethics approval and consent to participate	excluir
notes	excluir
references	excluir
