termino,categoria
pyocyanin,virulence_molecule
virulence factor,virulence_general
phenazine,virulence_molecule
rhamnolipid,virulence_molecule
chronic infection,infection_type
pathogenicity,virulence_general
cytotoxicity,virulence_phenotype
pathogenesis,virulence_general
virulence gene,virulence_general
acute infection,infection_type
protease activity,virulence_phenotype
hydrogen cyanide,virulence_molecule
exotoxin A,virulence_molecule
tissue damage,virulence_phenotype
alkaline protease,virulence_molecule
elastase activity,virulence_phenotype
phospholipase C,virulence_molecule
hemolysin,virulence_molecule
exoenzyme S,virulence_molecule
intracellular survival,virulence_phenotype
virulence attenuation,virulence_phenotype
immune evasion,virulence_phenotype
host colonization,virulence_phenotype
biofilm formation,biofilm
c-di-GMP,biofilm
alginate production,biofilm
biofilm development,biofilm
exopolysaccharide,biofilm
cyclic di-GMP,biofilm
diguanylate cyclase,biofilm
mucoid phenotype,biofilm
biofilm matrix,biofilm
microcolony,biofilm
alginate biosynthesis,biofilm
extracellular DNA,biofilm
biofilm maturation,biofilm
surface attachment,biofilm
biofilm dispersal,biofilm
mucoid conversion,biofilm
small colony variant,biofilm
Pel polysaccharide,biofilm
Psl polysaccharide,biofilm
extracellular polymeric substance,biofilm
quorum sensing,quorum_sensing
C4-HSL,quorum_sensing
autoinducer,quorum_sensing
homoserine lactone,quorum_sensing
3-oxo-C12-HSL,quorum_sensing
pqs system,quorum_sensing
rhl system,quorum_sensing
quinolone signal,quorum_sensing
las system,quorum_sensing
cell-to-cell communication,quorum_sensing
autoinducer synthase,quorum_sensing
luxR family,quorum_sensing
alkyl quinolone,quorum_sensing
quorum quenching,quorum_sensing
antibiotic resistance,antibiotic_resistance
beta-lactamase,antibiotic_resistance
antimicrobial resistance,antibiotic_resistance
colistin resistance,antibiotic_resistance
resistance mechanism,antibiotic_resistance
antibiotic susceptibility,antibiotic_resistance
antimicrobial peptide,antibiotic_resistance
antibiotic tolerance,antibiotic_resistance
multidrug resistance,antibiotic_resistance
polymyxin resistance,antibiotic_resistance
beta-lactam resistance,antibiotic_resistance
intrinsic resistance,antibiotic_resistance
carbapenem resistance,antibiotic_resistance
aminoglycoside resistance,antibiotic_resistance
persister cells,antibiotic_resistance
carbapenemase,antibiotic_resistance
AmpC beta-lactamase,antibiotic_resistance
acquired resistance,antibiotic_resistance
adaptive resistance,antibiotic_resistance
tetracycline resistance,antibiotic_resistance
efflux pump,efflux
efflux system,efflux
multidrug efflux,efflux
ABC transporter,efflux
RND efflux,efflux
active efflux,efflux
swarming motility,motility
twitching motility,motility
flagellin,motility
chemotaxis,motility
swimming motility,motility
pilin,motility
type IV pilus,motility
flagellar gene,motility
surface sensing,motility
flagellar biosynthesis,motility
flagellar motility,motility
pilus assembly,motility
surface motility,motility
polar flagellum,motility
secretion system,secretion
type III secretion,secretion
type VI secretion,secretion
effector protein,secretion
protein secretion,secretion
type II secretion,secretion
secreted protein,secretion
outer membrane vesicle,secretion
pyoverdine,iron_uptake
siderophore,iron_uptake
pyochelin,iron_uptake
iron uptake,iron_uptake
iron acquisition,iron_uptake
iron homeostasis,iron_uptake
iron starvation,iron_uptake
heme uptake,iron_uptake
iron limitation,iron_uptake
ferric uptake,iron_uptake
TonB-dependent receptor,iron_uptake
metal homeostasis,iron_uptake
denitrification,metabolism
secondary metabolite,metabolism
TCA cycle,metabolism
catabolite repression,metabolism
energy metabolism,metabolism
carbon metabolism,metabolism
anaerobic respiration,metabolism
polyamine,metabolism
amino acid metabolism,metabolism
glyoxylate shunt,metabolism
glycolysis,metabolism
central metabolism,metabolism
fatty acid biosynthesis,metabolism
amino acid biosynthesis,metabolism
nitrite reductase,metabolism
electron transport chain,metabolism
terminal oxidase,metabolism
lipid metabolism,metabolism
nitrogen metabolism,metabolism
nitrate reduction,metabolism
Entner-Doudoroff,metabolism
sulfur metabolism,metabolism
oxidative stress,stress_response
stress response,stress_response
heat shock,stress_response
hydrogen peroxide,stress_response
reactive oxygen species,stress_response
envelope stress,stress_response
ppGpp,stress_response
osmotic stress,stress_response
stringent response,stress_response
SOS response,stress_response
superoxide dismutase,stress_response
catalase activity,stress_response
DNA repair,stress_response
nitrosative stress,stress_response
oxidative damage,stress_response
cold shock,stress_response
membrane stress,stress_response
nutrient starvation,stress_response
outer membrane,cell_wall
lipid A,cell_wall
porin,cell_wall
peptidoglycan,cell_wall
lipopolysaccharide,cell_wall
inner membrane,cell_wall
cell envelope,cell_wall
O-antigen,cell_wall
cell division,cell_wall
outer membrane protein,cell_wall
lipoprotein,cell_wall
membrane permeability,cell_wall
LPS modification,cell_wall
lipid A modification,cell_wall
peptidoglycan recycling,cell_wall
penicillin-binding protein,cell_wall
cell wall synthesis,cell_wall
cystic fibrosis,infection_type
cf patients,infection_type
cf lung,infection_type
cf airway,infection_type
wound infection,infection_type
burn wound,infection_type
burn infection,infection_type
burn patients,infection_type
keratitis,infection_type
corneal infection,infection_type
corneal ulcer,infection_type
bacteremia,infection_type
bacteraemia,infection_type
septicemia,infection_type
sepsis,infection_type
pneumonia,infection_type
acute pneumonia,infection_type
ventilator-associated pneumonia,infection_type
urinary tract infection,infection_type
lung infection,infection_type
chronic lung infection,infection_type
pulmonary infection,infection_type
airway infection,infection_type
respiratory infection,infection_type
systemic infection,infection_type
bloodstream infection,infection_type
soft tissue infection,infection_type
skin infection,infection_type
otitis,infection_type
endocarditis,infection_type
osteomyelitis,infection_type
meningitis,infection_type
folliculitis,infection_type
ocular infection,infection_type
nosocomial infection,infection_type
hospital-acquired infection,infection_type
