id_canonico	clase	superficies	miembros	justificacion
fur	alias	Fur|PA4764		Fur es el simbolo de PA4764 en forma de proteina. La fila es sensible a mayusculas porque `fur` tiene tres letras, y Lexico no sintetiza la forma de proteina de una fila sensible a proposito, asi que sin esta linea la superficie `Fur` no existe. Medido en los 918 textos completos: 573 menciones de `Fur` en 81 documentos, la segunda cobertura documental mas alta de todo el diccionario.
anr	alias	Anr|PA1544		Igual que Fur: `anr` tiene tres letras, la fila es sensible y `Anr` no se reconoceria. RefSeq lo describe como "transcriptional regulator Anr". Medido: 500 menciones en 49 documentos.
vfr	alias	Vfr|PA0652		Igual que Fur. RefSeq lo describe como "cAMP-regulatory protein", que es el homologo de CRP. Medido: 555 menciones en 64 documentos.
crc	alias	Crc|PA5332		Igual que Fur. RefSeq lo describe como "catabolite repression control protein". No lleva marca de TF: Crc reprime a nivel de traduccion, no une ADN. Medido: 1139 menciones en 42 documentos.
hfq	alias	Hfq|PA4944		Igual que Fur. Medido: 1427 menciones en 60 documentos, la frecuencia mas alta de las formas de proteina de tres letras del diccionario.
dnr	alias	Dnr|PA0527		Igual que Fur. Medido: 160 menciones en 19 documentos.
fis	alias	Fis|PA4853		Igual que Fur. `fis` esta ademas en palabras_comunes.txt. Medido: 22 menciones en 13 documentos.
lrp	alias	Lrp|PA5308		Igual que Fur. Medido: 41 menciones en 5 documentos.
mvfR	alias	PqsR|pqsR|PA1003		El mismo gen tiene dos nombres en la literatura y las bases publicas solo traen uno. RefSeq y KEGG llaman `mvfR` a PA1003; el corpus escribe `PqsR` o `pqsR` 1827 veces en 155 documentos, contra las que escribe MvfR. La identidad esta corroborada dentro del propio corpus: `PqsR` y `PA1003` coocurren en 5 documentos y `MvfR` y `PA1003` en 7. No se renombra el gen: se agregan las superficies.
czcR	alias	CzcR|PA2523		PA2523 no tiene simbolo en RefSeq, KEGG ni UniProt; su producto es "two-component response regulator" y su vecino PA2524 es "two-component sensor", o sea el par CzcRS. La identidad esta corroborada dentro del corpus: `CzcR` y `PA2523` coocurren en un documento. Medido: 754 menciones de CzcR/czcR en 31 documentos.
hptB	alias	HptB|PA3345		PA3345 sale como "hypothetical protein" en RefSeq, asi que ninguna fuente publica lo nombra. La identidad esta corroborada dentro del corpus: `HptB` y `PA3345` coocurren en 4 documentos. Medido: 530 menciones en 33 documentos.
hasI	alias	HasI|PA3410		PA3410 es "ECF subfamily sigma-70 factor" en RefSeq y esta a dos genes de PA3408, que RefSeq llama `hasR`, el receptor del sistema hemoforo Has. Un sigma ECF junto a su receptor es el patron de los sistemas de senalizacion de superficie celular. Corroborado en el corpus: `HasI` y `PA3410` coocurren en un documento. Medido: 42 menciones en 11 documentos.
mexL	alias	MexL|PA3678		PA3678 es "transcriptional regulator" en RefSeq y no tiene simbolo en ninguna fuente. Corroborado en el corpus: `MexL` y `PA3678` coocurren en 2 documentos. Importa mas de lo que su frecuencia global sugiere: el PMID 40011517 son 86 KB dedicados a MexL y lo nombra 388 veces. Ojo con el error historico: `auditar_signo.py:80` afirmaba que mexL es PA2390, que es biosintesis de pioverdina.
mexJ	alias	MexJ|PA3677		PA3677 es "resistance-nodulation-cell division (RND) efflux membrane fusion protein" en RefSeq y no tiene simbolo. Es el gen contiguo a PA3678 (mexL), el regulador TetR de la bomba, y la proteina de fusion de membrana es el primer gen del operon. Sin este simbolo la tabla de operones no puede formar `mexJK`, que es blanco de una fila del patron de oro.
mexK	alias	MexK|PA3676		PA3676 es "resistance-nodulation-cell division (RND) efflux transporter" en RefSeq y no tiene simbolo. Es el segundo gen del operon que empieza en PA3677. Los dos van en la hebra menos, asi que el orden de transcripcion es PA3677 y luego PA3676, y el operon derivado sale `mexJK`.
sagS	alias	SagS|PA2824		PA2824 es "sensor/response regulator hybrid protein" en RefSeq y no tiene simbolo. Corroborado en el corpus: `SagS` y `PA2824` coocurren en 2 documentos. Medido: 444 menciones en 23 documentos.
mvaU	alias	MvaU|PA2667		TF: PA2667 sale como "hypothetical protein" en RefSeq. Es el paralogo de MvaT (PA4315), que RefSeq si describe como "transcriptional regulator MvaT", y los dos forman el sistema de silenciamiento tipo H-NS de P. aeruginosa. Corroborado en el corpus: `MvaU` y `PA2667` coocurren en 2 documentos. Medido: 399 menciones en 28 documentos.
