operon	miembros	locus_tags	hebra
dnaAN-recF-gyrB	dnaA|dnaN|recF|gyrB	PA0001|PA0002|PA0003|PA0004	+
gmhB-lptA	gmhB|lptA	PA0006|PA0005	-
glyQS	glyQ|glyS	PA0009|PA0008	-
rsmB-trkA	rsmB|trkA	PA0017|PA0016	-
hemF-aroE-plcB	hemF|aroE|plcB	PA0024|PA0025|PA0026	+
trpBA	trpB|trpA	PA0036|PA0035	-
pppA-ppkA	pppA|ppkA	PA0075|PA0074	-
coxBA	coxB|coxA	PA0105|PA0106	+
bauABC-gabP	bauA|bauB|bauC|gabP	PA0132|PA0131|PA0130|PA0129	-
ahpCF	ahpC|ahpF	PA0139|PA0140	+
pcaQHGR	pcaQ|pcaH|pcaG|pcaR	PA0152|PA0153|PA0154|PA0155	+
mdcABCDEG	mdcA|mdcB|mdcC|mdcD|mdcE|mdcG	PA0208|PA0209|PA0210|PA0211|PA0212|PA0213	+
pcaFTBDC	pcaF|pcaT|pcaB|pcaD|pcaC	PA0228|PA0229|PA0230|PA0231|PA0232	+
gabD-davT	gabD|davT	PA0265|PA0266	+
cysTWA	cysT|cysW|cysA	PA0282|PA0281|PA0280	-
desA-gpuPAR	desA|gpuP|gpuA|gpuR	PA0286|PA0287|PA0288|PA0289	+
aguRBA	aguR|aguB|aguA	PA0294|PA0293|PA0292	-
spuABCDEFGH	spuA|spuB|spuC|spuD|spuE|spuF|spuG|spuH	PA0297|PA0298|PA0299|PA0300|PA0301|PA0302|PA0303|PA0304	+
ygdP-ptsP	ygdP|ptsP	PA0336|PA0337	+
ftsYEX-rpoH	ftsY|ftsE|ftsX|rpoH	PA0373|PA0374|PA0375|PA0376	+
thiG-micA	thiG|micA	PA0381|PA0382	+
pilTU	pilT|pilU	PA0395|PA0396	+
pyrRBX	pyrR|pyrB|pyrX	PA0403|PA0402|PA0401	-
pilGHIJK-chpABCDE	pilG|pilH|pilI|pilJ|pilK|chpA|chpB|chpC|chpD|chpE	PA0408|PA0409|PA0410|PA0411|PA0412|PA0413|PA0414|PA0415|PA0416|PA0417	+
mexAB-oprM	mexA|mexB|oprM	PA0425|PA0426|PA0427	+
codBA	codB|codA	PA0438|PA0437	-
creBCD	creB|creC|creD	PA0463|PA0464|PA0465	+
bioBF	bioB|bioF	PA0500|PA0501	+
bioCD	bioC|bioD	PA0503|PA0504	+
