Entry	Gene Names	Gene Ontology IDs	Keywords
G3XD23	wbpB wlbA PA3158	GO:0000271; GO:0003954; GO:0004617; GO:0006065; GO:0009103; GO:0009243; GO:0016616; GO:0051262; GO:0070403; GO:0070404; GO:0071555	3D-structure;Cell wall biogenesis/degradation;Lipopolysaccharide biosynthesis;NAD;Nucleotide-binding;Oxidoreductase;Reference proteome
P00282	azu PA4922	GO:0005507; GO:0005886; GO:0008270; GO:0009055; GO:0042597; GO:0042802; GO:0046914	3D-structure;Copper;Direct protein sequencing;Disulfide bond;Electron transport;Metal-binding;Periplasm;Reference proteome;Signal;Transport
P14756	lasB PA3724	GO:0004175; GO:0004222; GO:0005576; GO:0006508; GO:0015628; GO:0043952; GO:0044010; GO:0046872; GO:0071978	3D-structure;Autocatalytic cleavage;Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Secreted;Signal;Virulence;Zinc;Zymogen
P20581	pqsE PA1000	GO:0008800; GO:0044550; GO:0046872	3D-structure;Hydrolase;Iron;Metal-binding;Reference proteome
P20586	pobA PA0247	GO:0016491; GO:0018659; GO:0043640; GO:0050660; GO:0071949; GO:0106356	3D-structure;Aromatic hydrocarbons catabolism;FAD;Flavoprotein;Monooxygenase;NADP;Oxidoreductase;Reference proteome
P25084	lasR PA1430	GO:0000976; GO:0001216; GO:0003700; GO:0006351; GO:0006355; GO:0009372; GO:0010468; GO:0032993; GO:0043565; GO:0045893; GO:0060310	3D-structure;Activator;DNA-binding;Quorum sensing;Reference proteome;Transcription;Transcription regulation
P26275	algR PA5261	GO:0000156; GO:0000976; GO:0001216; GO:0001217; GO:0005829; GO:0006351; GO:0006355; GO:0032993; GO:0042121; GO:0043107; GO:0043565; GO:0045892; GO:0045893; GO:0071978; GO:1900192; GO:1901031; GO:2000147	Activator;Alginate biosynthesis;DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system
P26876	lip lipA PA2862	GO:0004806; GO:0005576; GO:0015628; GO:0016042; GO:0016298; GO:0043952; GO:0046872	3D-structure;Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Lipid degradation;Lipid metabolism;Metal-binding;Reference proteome;Secreted;Signal
P28810	mmsA PA3570	GO:0004491; GO:0006210; GO:0006574	Direct protein sequencing;NAD;Oxidoreductase;Reference proteome
P35482	lapA phoA phoA2 pstS PA0688	GO:0004035; GO:0005576; GO:0006817; GO:0015628; GO:0042597; GO:0043952	Direct protein sequencing;Hydrolase;Periplasm;Reference proteome;Secreted;Signal
