Entry	Protein names	Gene Names	Gene Names (primary)	Gene Names (ordered locus)	Gene Names (synonym)	Gene Ontology IDs	Keywords
Q9I0Z0	Transcriptional regulator MexT	mexT nfxC PA2492	mexT	PA2492	nfxC	GO:0000976; GO:0001216; GO:0006351; GO:0006355; GO:0032993; GO:0045861; GO:0045893; GO:0050709; GO:1900377	3D-structure;Antibiotic resistance;DNA-binding;Reference proteome;Transcription;Transcription regulation
Q9HVI9	Multidrug efflux pump subunit MexD (Efflux pump membrane transporter) (MexCD-OprJ multidrug efflux pump subunit MexD)	mexD PA4598	mexD	PA4598		GO:0005886; GO:0009636; GO:0015562; GO:0042910	Antibiotic resistance;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
O69078	Translational regulator CsrA (Carbon storage regulator) (Global translational regulatory protein RsmA)	csrA rsmA PA0905	csrA	PA0905	rsmA	GO:0005829; GO:0006109; GO:0006402; GO:0009372; GO:0030254; GO:0033103; GO:0043455; GO:0045947; GO:0045948; GO:0048027; GO:1900190	3D-structure;Activator;Cytoplasm;Reference proteome;Repressor;RNA-binding;Translation regulation
P52002	Multidrug resistance protein MexB (Multidrug-efflux transporter MexB)	mexB PA0426	mexB	PA0426		GO:0005886; GO:0015562; GO:0042910; GO:0046677; GO:0055085; GO:0140330; GO:1990281	3D-structure;Antibiotic resistance;Cell inner membrane;Cell membrane;Direct protein sequencing;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q51487	Outer membrane protein OprM	oprM oprK PA0427	oprM	PA0427	oprK	GO:0009279; GO:0015562; GO:0016020; GO:0022857; GO:0046677; GO:0055085; GO:0140330; GO:1990281	3D-structure;Antibiotic resistance;Cell outer membrane;Direct protein sequencing;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
P52477	Multidrug resistance protein MexA	mexA PA0425	mexA	PA0425		GO:0005886; GO:0009636; GO:0015562; GO:0042802; GO:0042908; GO:0046677; GO:0051260	3D-structure;Antibiotic resistance;Cell inner membrane;Cell membrane;Coiled coil;Direct protein sequencing;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal;Transport
Q51397	Outer membrane protein OprJ	oprJ oprK PA4597	oprJ	PA4597	oprK	GO:0009279; GO:0015562; GO:0016020; GO:0022857; GO:0046677; GO:0055085	3D-structure;Antibiotic resistance;Cell membrane;Cell outer membrane;Ion transport;Lipoprotein;Membrane;Palmitate;Periplasm;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
Q03456	Ferric uptake regulation protein (Ferric uptake regulator)	fur PA4764	fur	PA4764		GO:0000976; GO:0001217; GO:0003700; GO:0005829; GO:0006351; GO:0008198; GO:0008270; GO:0019290; GO:0032993; GO:0045892; GO:1900705; GO:1901668	3D-structure;Cytoplasm;DNA-binding;Iron;Metal-binding;Reference proteome;Repressor;Transcription;Transcription regulation;Zinc
Q9I4X0	Multiple virulence factor regulator MvfR (Transcriptional regulator MvfR)	mvfR PA1003	mvfR	PA1003		GO:0003677; GO:0003700; GO:0005576; GO:0005886; GO:0006351; GO:0006355; GO:0034762; GO:0051349	3D-structure;Cell inner membrane;Cell membrane;DNA-binding;Membrane;Reference proteome;Secreted;Transcription;Transcription regulation;Virulence
G3XD25	Multidrug efflux pump subunit MexC (Membrane fusion protein MexC) (MexCD-OprJ multidrug efflux pump subunit MexC)	mexC PA4599	mexC	PA4599		GO:0005886; GO:0022857; GO:0046677	Antibiotic resistance;Cell membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal;Transport
Q9I5U5	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA PA0592	rsmA	PA0592	ksgA	GO:0000179; GO:0003723; GO:0005829; GO:0031167; GO:0052908	Cytoplasm;Methyltransferase;Reference proteome;RNA-binding;rRNA processing;S-adenosyl-L-methionine;Transferase
Q9HXW2	Probable transcriptional regulator	PA3678		PA3678		GO:0000976; GO:0001217; GO:0003700; GO:0006351; GO:0006355; GO:0032993; GO:0043565; GO:0045892	3D-structure;DNA-binding;Reference proteome;Transcription;Transcription regulation
Q9HXW3	Probable Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein	PA3677		PA3677		GO:0016020; GO:0022857; GO:0046677	Coiled coil;Reference proteome;Signal
Q9HXW4	Probable Resistance-Nodulation-Cell Division (RND) efflux transporter	PA3676		PA3676		GO:0005886; GO:0042910; GO:0046677	Membrane;Reference proteome;Transmembrane;Transmembrane helix
