operon	miembros	locus_tags	fuente
accA-tilS	accA|tilS	PA3639|PA3638	refseq_adyacencia
accA-tilS-pyrG	accA|tilS|pyrG	PA3639|PA3638|PA3637	refseq_adyacencia
accA-tilS-pyrG-kdsA	accA|tilS|pyrG|kdsA	PA3639|PA3638|PA3637|PA3636	refseq_adyacencia
accBC	accB|accC	PA4847|PA4848	refseq_adyacencia
accD-folC	accD|folC	PA3112|PA3111	refseq_adyacencia
aceEF	aceE|aceF	PA5015|PA5016	refseq_adyacencia
aguBA	aguB|aguA	PA0293|PA0292	refseq_adyacencia
aguRB	aguR|aguB	PA0294|PA0293	refseq_adyacencia
aguRBA	aguR|aguB|aguA	PA0294|PA0293|PA0292	refseq_adyacencia
ahpCF	ahpC|ahpF	PA0139|PA0140	refseq_adyacencia
alaS-lysC	alaS|lysC	PA0903|PA0904	refseq_adyacencia
alaS-lysC-rsmA	alaS|lysC|rsmA	PA0903|PA0904|PA0905	refseq_adyacencia
algA-arnB	algA|arnB	PA3551|PA3552	refseq_adyacencia
algA-arnBC	algA|arnB|arnC	PA3551|PA3552|PA3553	refseq_adyacencia
algA-arnBCA	algA|arnB|arnC|arnA	PA3551|PA3552|PA3553|PA3554	refseq_adyacencia
algA-arnBCAD	algA|arnB|arnC|arnA|arnD	PA3551|PA3552|PA3553|PA3554|PA3555	refseq_adyacencia
algA-arnBCADT	algA|arnB|arnC|arnA|arnD|arnT	PA3551|PA3552|PA3553|PA3554|PA3555|PA3556	refseq_adyacencia
algA-arnBCADTE	algA|arnB|arnC|arnA|arnD|arnT|arnE	PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557	refseq_adyacencia
algA-arnBCADTEF	algA|arnB|arnC|arnA|arnD|arnT|arnE|arnF	PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557|PA3558	refseq_adyacencia
algC-argB	algC|argB	PA5322|PA5323	refseq_adyacencia
algEG	algE|algG	PA3544|PA3545	refseq_adyacencia
algEGX	algE|algG|algX	PA3544|PA3545|PA3546	refseq_adyacencia
algEGXL	algE|algG|algX|algL	PA3544|PA3545|PA3546|PA3547	refseq_adyacencia
algEGXLI	algE|algG|algX|algL|algI	PA3544|PA3545|PA3546|PA3547|PA3548	refseq_adyacencia
algEGXLIJ	algE|algG|algX|algL|algI|algJ	PA3544|PA3545|PA3546|PA3547|PA3548|PA3549	refseq_adyacencia
algEGXLIJF	algE|algG|algX|algL|algI|algJ|algF	PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550	refseq_adyacencia
algEGXLIJFA	algE|algG|algX|algL|algI|algJ|algF|algA	PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551	refseq_adyacencia
algEGXLIJFA-arnB	algE|algG|algX|algL|algI|algJ|algF|algA|arnB	PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552	refseq_adyacencia
algEGXLIJFA-arnBC	algE|algG|algX|algL|algI|algJ|algF|algA|arnB|arnC	PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553	refseq_adyacencia
algEGXLIJFA-arnBCA	algE|algG|algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA	PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554	refseq_adyacencia
algEGXLIJFA-arnBCAD	algE|algG|algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD	PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555	refseq_adyacencia
algEGXLIJFA-arnBCADT	algE|algG|algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT	PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556	refseq_adyacencia
algEGXLIJFA-arnBCADTE	algE|algG|algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT|arnE	PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557	refseq_adyacencia
algEGXLIJFA-arnBCADTEF	algE|algG|algX|algL|algI|algJ|algF|algA|arnB|arnC|arnA|arnD|arnT|arnE|arnF	PA3544|PA3545|PA3546|PA3547|PA3548|PA3549|PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556|PA3557|PA3558	refseq_adyacencia
algFA	algF|algA	PA3550|PA3551	refseq_adyacencia
algFA-arnB	algF|algA|arnB	PA3550|PA3551|PA3552	refseq_adyacencia
algFA-arnBC	algF|algA|arnB|arnC	PA3550|PA3551|PA3552|PA3553	refseq_adyacencia
algFA-arnBCA	algF|algA|arnB|arnC|arnA	PA3550|PA3551|PA3552|PA3553|PA3554	refseq_adyacencia
algFA-arnBCAD	algF|algA|arnB|arnC|arnA|arnD	PA3550|PA3551|PA3552|PA3553|PA3554|PA3555	refseq_adyacencia
algFA-arnBCADT	algF|algA|arnB|arnC|arnA|arnD|arnT	PA3550|PA3551|PA3552|PA3553|PA3554|PA3555|PA3556	refseq_adyacencia
